"time","operatorId","operatorName","binningCount","pickingCount","totalItems","productivity","workdays","attendanceCount"
"2025-04-21",3,"Budi Santoso",161,118,279,93,1,1
"2025-04-21",2,"Siti Rahma",161,118,279,93,1,1
"2025-04-21",1,"Ahmad Yusuf",161,118,279,93,1,1
"2025-04-22",3,"Budi Santoso",149,83,232,77.33333333333333,1,1
"2025-04-22",2,"Siti Rahma",149,83,232,77.33333333333333,1,1
"2025-04-22",1,"Ahmad Yusuf",149,83,232,77.33333333333333,1,1
"2025-04-23",3,"Budi Santoso",172,116,288,96,1,1
"2025-04-23",1,"Ahmad Yusuf",172,116,288,96,1,1
"2025-04-23",2,"Siti Rahma",172,116,288,96,1,1
"2025-04-24",3,"Budi Santoso",166,101,267,89,1,1
"2025-04-24",2,"Siti Rahma",166,101,267,89,1,1
"2025-04-24",1,"Ahmad Yusuf",166,101,267,89,1,1
"2025-04-25",3,"Budi Santoso",137,93,230,76.66666666666667,1,1
"2025-04-25",2,"Siti Rahma",137,93,230,76.66666666666667,1,1
"2025-04-25",1,"Ahmad Yusuf",137,93,230,76.66666666666667,1,1
"2025-04-26",3,"Budi Santoso",164,87,251,83.66666666666667,1,1
"2025-04-26",1,"Ahmad Yusuf",164,87,251,83.66666666666667,1,1
"2025-04-26",2,"Siti Rahma",164,87,251,83.66666666666667,1,1
"2025-04-27",1,"Ahmad Yusuf",41,27,68,22.666666666666668,1,1
"2025-04-27",2,"Siti Rahma",41,27,68,22.666666666666668,1,1
"2025-04-27",3,"Budi Santoso",41,27,68,22.666666666666668,1,1
"2025-04-28",3,"Budi Santoso",148,97,245,81.66666666666667,1,1
"2025-04-28",2,"Siti Rahma",148,97,245,81.66666666666667,1,1
"2025-04-28",1,"Ahmad Yusuf",148,97,245,81.66666666666667,1,1
"2025-04-29",1,"Ahmad Yusuf",150,113,263,87.66666666666667,1,1
"2025-04-29",3,"Budi Santoso",150,113,263,87.66666666666667,1,1
"2025-04-29",2,"Siti Rahma",150,113,263,87.66666666666667,1,1
"2025-04-30",1,"Ahmad Yusuf",158,96,254,84.66666666666667,1,1
"2025-04-30",2,"Siti Rahma",158,96,254,84.66666666666667,1,1
"2025-04-30",3,"Budi Santoso",158,96,254,84.66666666666667,1,1
